No;Course Category;Course Title;Course Topics;Content Type;Title;URL
53;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 4 Metodologi Al Quran dalam Menyajikan Permasalahan Aqidah;https://youtu.be/BobPEpxMlbM
54;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 5 Kebutuhan Manusia Menurut Aqidah;https://youtu.be/C6_uPF0Ya8Y
55;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 6 Aqidah Ahlussunnah Waljamaah;https://youtu.be/Kf0Aw1PJQmo
56;Islamic Fundamental;Aqidah;Muqaddimah Aqidah Islamiyah;Video;Part 7 Sifat Allah;https://youtu.be/yl_K-F0tYIw
57;Islamic Fundamental;Aqidah;Pentingnya Aqidah dalam Membangun Masyarakat;Video;Part 1 Intro Aqidah;https://youtu.be/CMX6XKAb-uY
58;Islamic Fundamental;Aqidah;Pentingnya Aqidah dalam Membangun Masyarakat;Video;Part 2 Aqidah sebagai Pengikat, Pengubah Keyakinan, Pengubah Pikiran;https://youtu.be/EjvDQDl5J2I
59;Islamic Fundamental;Aqidah;Pentingnya Aqidah dalam Membangun Masyarakat;Video;Part 3 Pengubah Perasaan, Tekad Baja;https://www.youtube.com/watch?v=XJI2fF1Zpqw
60;Islamic Fundamental;Aqidah;Pentingnya Aqidah dalam Membangun Masyarakat;Video;Part 4 Pengubah Tampilan, Pengubah Perilaku, & Pribadi Tangguh;https://youtu.be/pqekS0tDWRg
61;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 1 Intro Pentingnya Mengenal Allah;https://youtu.be/t5OgTFYhhhY
62;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 2 Manfaat Mengenal Allah;https://youtu.be/_XPTmt9PXQY
63;Islamic Fundamental;Aqidah;Pentingnya Mengenal Allah;Video;Part 3 Dari Mana Kita Berasal?;https://youtu.be/W4ZX_b-XDpI
